Time,Energy delta[Wh],GHI,temp,pressure,humidity,wind_speed,rain_1h,snow_1h,clouds_all,isSun,sunlightTime,dayLength,SunlightTime/daylength,weather_type,hour,month
2017-01-01 00:00:00,0,0.0,1.6,1021,100,4.9,0.0,0.0,100,0,0,450,0.0,4,0,1
2017-01-01 00:15:00,0,0.0,1.6,1021,100,4.9,0.0,0.0,100,0,0,450,0.0,4,0,1
2017-01-01 00:30:00,0,0.0,1.6,1021,100,4.9,0.0,0.0,100,0,0,450,0.0,4,0,1
2017-01-01 00:45:00,0,0.0,1.6,1021,100,4.9,0.0,0.0,100,0,0,450,0.0,4,0,1
2017-01-01 01:00:00,0,0.0,1.7,1020,100,5.2,0.0,0.0,100,0,0,450,0.0,4,1,1
2017-01-01 01:15:00,0,0.0,1.7,1020,100,5.2,0.0,0.0,100,0,0,450,0.0,4,1,1
2017-01-01 01:30:00,0,0.0,1.7,1020,100,5.2,0.0,0.0,100,0,0,450,0.0,4,1,1
2017-01-01 01:45:00,0,0.0,1.7,1020,100,5.2,0.0,0.0,100,0,0,450,0.0,4,1,1
2017-01-01 02:00:00,0,0.0,1.9,1020,100,5.5,0.0,0.0,100,0,0,450,0.0,4,2,1
2017-01-01 02:15:00,0,0.0,1.9,1020,100,5.5,0.0,0.0,100,0,0,450,0.0,4,2,1
2017-01-01 02:30:00,0,0.0,1.9,1020,100,5.5,0.0,0.0,100,0,0,450,0.0,4,2,1
2017-01-01 02:45:00,0,0.0,1.9,1020,100,5.5,0.0,0.0,100,0,0,450,0.0,4,2,1
2017-01-01 03:00:00,0,0.0,2.0,1019,100,5.7,0.0,0.0,100,0,0,450,0.0,4,3,1
2017-01-01 03:15:00,0,0.0,2.0,1019,100,5.7,0.0,0.0,100,0,0,450,0.0,4,3,1
2017-01-01 03:30:00,0,0.0,2.0,1019,100,5.7,0.0,0.0,100,0,0,450,0.0,4,3,1
2017-01-01 03:45:00,0,0.0,2.0,1019,100,5.7,0.0,0.0,100,0,0,450,0.0,4,3,1
2017-01-01 04:00:00,0,0.0,2.5,1018,100,5.6,0.0,0.0,100,0,0,450,0.0,4,4,1
2017-01-01 04:15:00,0,0.0,2.5,1018,100,5.6,0.0,0.0,100,0,0,450,0.0,4,4,1
2017-01-01 04:30:00,0,0.0,2.5,1018,100,5.6,0.0,0.0,100,0,0,450,0.0,4,4,1
2017-01-01 04:45:00,0,0.0,2.5,1018,100,5.6,0.0,0.0,100,0,0,450,0.0,4,4,1
2017-01-01 05:00:00,0,0.0,2.6,1017,100,5.7,0.0,0.0,100,0,0,450,0.0,4,5,1
2017-01-01 05:15:00,0,0.0,2.6,1017,100,5.7,0.0,0.0,100,0,0,450,0.0,4,5,1
2017-01-01 05:30:00,0,0.0,2.6,1017,100,5.7,0.0,0.0,100,0,0,450,0.0,4,5,1
2017-01-01 05:45:00,0,0.0,2.6,1017,100,5.7,0.0,0.0,100,0,0,450,0.0,4,5,1
2017-01-01 06:00:00,0,0.0,2.8,1017,100,6.0,0.0,0.0,100,0,0,450,0.0,4,6,1
2017-01-01 06:15:00,0,0.0,2.8,1017,100,6.0,0.0,0.0,100,0,0,450,0.0,4,6,1
2017-01-01 06:30:00,0,0.0,2.8,1017,100,6.0,0.0,0.0,100,0,0,450,0.0,4,6,1
2017-01-01 06:45:00,0,0.0,2.8,1017,100,6.0,0.0,0.0,100,0,0,450,0.0,4,6,1
2017-01-01 07:00:00,0,0.0,2.9,1016,100,6.1,0.0,0.0,98,0,0,450,0.0,4,7,1
2017-01-01 07:15:00,0,0.2,2.9,1016,100,6.1,0.0,0.0,98,1,15,450,0.03,4,7,1
2017-01-01 07:30:00,0,2.7,2.9,1016,100,6.1,0.0,0.0,98,1,30,450,0.07,4,7,1
2017-01-01 07:45:00,0,6.4,2.9,1016,100,6.1,0.0,0.0,98,1,45,450,0.1,4,7,1
2017-01-01 08:00:00,5,10.6,3.5,1016,99,6.0,0.0,0.0,98,1,60,450,0.13,4,8,1
2017-01-01 08:15:00,33,6.0,3.5,1016,99,6.0,0.0,0.0,98,1,75,450,0.17,4,8,1
2017-01-01 08:30:00,44,2.8,3.5,1016,99,6.0,0.0,0.0,98,1,90,450,0.2,4,8,1
2017-01-01 08:45:00,61,3.1,3.5,1016,99,6.0,0.0,0.0,98,1,105,450,0.23,4,8,1
2017-01-01 09:00:00,65,3.5,3.6,1016,97,6.2,0.0,0.0,100,1,120,450,0.27,4,9,1
2017-01-01 09:15:00,83,3.8,3.6,1016,97,6.2,0.0,0.0,100,1,135,450,0.3,4,9,1
2017-01-01 09:30:00,69,4.1,3.6,1016,97,6.2,0.0,0.0,100,1,150,450,0.33,4,9,1
2017-01-01 09:45:00,98,4.3,3.6,1016,97,6.2,0.0,0.0,100,1,165,450,0.37,4,9,1
2017-01-01 10:00:00,138,4.5,3.8,1015,93,5.6,0.0,0.0,94,1,180,450,0.4,4,10,1
2017-01-01 10:15:00,161,4.7,3.8,1015,93,5.6,0.0,0.0,94,1,195,450,0.43,4,10,1
2017-01-01 10:30:00,119,6.4,3.8,1015,93,5.6,0.0,0.0,94,1,210,450,0.47,4,10,1
2017-01-01 10:45:00,95,11.9,3.8,1015,93,5.6,0.0,0.0,94,1,225,450,0.5,4,10,1
